"track"	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"assignes"	"badassignes"	"PRM_TRUNCQ"	"PRM_RMPHIX"	"PRM_MAXEE"	"PRM_TRUNCLEN"	"pFiltered"	"pDenoisedF"	"pDenoisedR"	"pMerged"	"pNonchim"	"Klebsiella"	"Citrobacter"	"Lelliottia"	"Streptococcus"	"Prevotella_7"	"Fusobacterium"	"Raoultella"	"Granulicatella"	"Bergeyella"	"Veillonella"	"Prevotella_6"	"Enterococcus"	"Lactobacillus"	"Gemella"	"Campylobacter"	"Leptotrichia"	"Atopobium"	"Prevotella"	"Oribacterium"	"Megasphaera"	"Bifidobacterium"	"Stomatobaculum"	"Porphyromonas"	"Neisseria"	"Haemophilus"	"Actinobacillus"	"Parvimonas"	"Geobacillus"	"Enterobacter"	"Kingella"	"Capnocytophaga"	"Bacillus"	"Dialister"	"Treponema_2"	"Mycoplasma"	"Mogibacterium"	"Shuttleworthia"	"Alloprevotella"	"Anaerobacillus"	"Rothia"	"Actinomyces"	"Escherichia/Shigella"	"Cutibacterium"	"Pseudoscardovia"	"Selenomonas_3"	"Ochrobactrum"	"Corynebacterium"	"Samsonia"	"Atlantibacter"	"Tannerella"	"Prevotellaceae_YAB2003_group"	"Distigma"	"Atopobacter"	"Solobacterium"	"Hydrogenophilus"	"Slackia"	"Melissococcus"	"Enterobacillus"	"Anthococcus"
"track48"	"track48"	140892	111165	110592	110263	4982	4916	3	77	"Truncq_7"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_180-160"	78.9008602333702	78.4941657439741	78.2606535502371	3.53604179087528	3.48919739942651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track49"	"track49"	140892	111165	110592	110263	4982	4916	3	77	"Truncq_11"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_180-160"	78.9008602333702	78.4941657439741	78.2606535502371	3.53604179087528	3.48919739942651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track50"	"track50"	140892	39171	38850	38878	2489	2489	0	33	"Truncq_15"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_180-160"	27.8021463248446	27.5743122391619	27.5941856173523	1.76660136842404	1.76660136842404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track51"	"track51"	140892	100502	99471	99029	77305	63139	118	84	"Truncq_2"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_0-0"	71.3326519603668	70.6008857848565	70.2871703148511	54.868267893138	44.8137580558158	18254	11566	2598	7380	3581	3177	1432	1115	1001	3419	789	483	605	608	130	111	116	250	88	133	143	102	228	64	90	47	44	50	73	0	38	30	33	21	3	4	5	2	0	77	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track52"	"track52"	140892	100502	99471	99029	77305	63139	119	83	"Truncq_4"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_0-0"	71.3326519603668	70.6008857848565	70.2871703148511	54.868267893138	44.8137580558158	18254	11566	2598	7377	3581	3177	1432	1115	1001	3419	789	483	605	608	130	111	116	250	88	133	143	102	228	64	90	47	44	50	73	0	38	30	33	21	3	4	5	2	0	77	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track53"	"track53"	140892	100502	99471	99029	77305	63139	118	84	"Truncq_7"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_0-0"	71.3326519603668	70.6008857848565	70.2871703148511	54.868267893138	44.8137580558158	18254	11566	2598	7380	3581	3177	1432	1115	1001	3419	789	483	605	608	130	111	116	250	88	133	143	102	228	64	90	47	44	50	73	0	38	30	33	21	3	4	5	2	0	77	29	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"track54"	"track54"	140892	100502	99471	99029	77305	63139	118	84	"Truncq_11"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_0-0"	71.3326519603668	70.6008857848565	70.2871703148511	54.868267893138	44.8137580558158	18254	11566	2598	7380	3581	3177	1432	1115	1001	3419	789	483	605	608	130	111	116	250	88	133	143	102	228	64	90	47	44	50	73	0	38	30	33	21	3	4	5	2	0	77	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track55"	"track55"	140892	129060	127879	128940	4324	4324	2	20	"Truncq_15"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_0-0"	91.6020781875479	90.7638474860177	91.516906566732	3.06901740340119	3.06901740340119	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track56"	"track56"	140892	43168	42489	42207	38836	31865	160	80	"Truncq_2"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_250-230"	30.6390710615223	30.1571416404054	29.9569883314879	27.5643755500667	22.6166141441672	744	453	94	7796	4518	3294	52	1153	1477	3738	852	506	222	653	149	0	126	247	90	0	181	113	314	68	90	53	44	64	0	32	50	0	15	21	5	4	5	0	27	105	122	52	17	0	8	6	7	4	5	3	2	0	0	6	3	2	0	0	0
"track57"	"track57"	140892	43168	42489	42207	38836	31865	159	81	"Truncq_4"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_250-230"	30.6390710615223	30.1571416404054	29.9569883314879	27.5643755500667	22.6166141441672	744	453	94	7796	4510	3294	52	1153	1477	3738	852	506	222	653	149	0	126	247	90	0	181	113	314	68	90	53	44	64	0	32	50	0	15	21	5	4	5	0	27	105	122	52	17	0	8	6	7	4	5	3	2	4	4	6	3	2	0	0	0
"track58"	"track58"	140892	43168	42489	42207	38836	31865	159	81	"Truncq_7"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_250-230"	30.6390710615223	30.1571416404054	29.9569883314879	27.5643755500667	22.6166141441672	744	453	94	7796	4518	3294	52	1153	1477	3738	852	506	222	653	149	0	126	247	90	0	181	113	314	68	90	53	44	64	0	32	50	0	15	21	5	4	5	0	27	105	122	52	17	0	8	6	7	4	3	3	2	0	0	6	3	2	0	0	0
"track59"	"track59"	140892	43168	42489	42207	38836	31865	156	84	"Truncq_11"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_250-230"	30.6390710615223	30.1571416404054	29.9569883314879	27.5643755500667	22.6166141441672	744	453	94	7796	4518	3294	52	1153	1477	3738	852	506	222	653	149	0	126	247	90	0	181	113	314	68	90	53	44	64	0	32	50	0	15	21	5	4	5	0	27	105	122	52	17	0	8	6	7	4	5	3	2	4	0	6	3	2	0	0	0
"track60"	"track60"	140892	2767	2679	2683	2447	2336	46	11	"Truncq_15"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_250-230"	1.96391562331431	1.90145643471595	1.90429548874315	1.73679130113846	1.65800755188371	0	0	0	625	288	251	0	193	98	193	51	84	9	86	12	0	4	0	13	0	0	6	0	6	8	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	9	0	0	0	2	0	0
"track61"	"track61"	140892	114947	114097	113826	5677	5614	9	89	"Truncq_2"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_230-210"	81.5851858160861	80.9818868353065	80.7895409249638	4.02932742810096	3.98461232717259	4	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track62"	"track62"	140892	114947	114097	113826	5677	5614	10	88	"Truncq_4"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_230-210"	81.5851858160861	80.9818868353065	80.7895409249638	4.02932742810096	3.98461232717259	4	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track63"	"track63"	140892	114947	114097	113826	5677	5614	9	89	"Truncq_7"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_230-210"	81.5851858160861	80.9818868353065	80.7895409249638	4.02932742810096	3.98461232717259	4	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track64"	"track64"	140892	114947	114097	113826	5677	5614	9	89	"Truncq_11"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_230-210"	81.5851858160861	80.9818868353065	80.7895409249638	4.02932742810096	3.98461232717259	4	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track65"	"track65"	140892	13656	13429	13523	832	832	3	25	"Truncq_15"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_230-210"	9.69253044885444	9.53141413281095	9.5981319024501	0.590523237657213	0.590523237657213	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track66"	"track66"	140892	120557	119729	119414	6080	6019	6	96	"Truncq_2"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_210-190"	85.5669590892315	84.9792749056015	84.7556994009596	4.31536212134117	4.2720665474264	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track67"	"track67"	140892	120557	119729	119414	6080	6019	5	97	"Truncq_4"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_210-190"	85.5669590892315	84.9792749056015	84.7556994009596	4.31536212134117	4.2720665474264	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track68"	"track68"	140892	120557	119729	119414	6080	6019	7	95	"Truncq_7"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_210-190"	85.5669590892315	84.9792749056015	84.7556994009596	4.31536212134117	4.2720665474264	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"track69"	"track69"	140892	120557	119729	119414	6080	6019	6	96	"Truncq_11"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_210-190"	85.5669590892315	84.9792749056015	84.7556994009596	4.31536212134117	4.2720665474264	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track70"	"track70"	140892	24401	24112	24164	1803	1803	2	34	"Truncq_15"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_210-190"	17.3189393294154	17.1138176759504	17.1507253783039	1.27970360275956	1.27970360275956	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track71"	"track71"	140892	127640	126872	126155	5678	5606	4	80	"Truncq_2"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_180-160"	90.5942140078926	90.0491156346705	89.5402152002953	4.03003719160776	3.97893421911819	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track72"	"track72"	140892	127640	126872	126155	5678	5606	3	81	"Truncq_4"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_180-160"	90.5942140078926	90.0491156346705	89.5402152002953	4.03003719160776	3.97893421911819	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track73"	"track73"	140892	127640	126872	126155	5678	5606	3	81	"Truncq_7"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_180-160"	90.5942140078926	90.0491156346705	89.5402152002953	4.03003719160776	3.97893421911819	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track74"	"track74"	140892	127640	126872	126155	5678	5606	4	80	"Truncq_11"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_180-160"	90.5942140078926	90.0491156346705	89.5402152002953	4.03003719160776	3.97893421911819	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track75"	"track75"	140892	39171	38850	38878	2489	2489	0	33	"Truncq_15"	"rmphix_TRUE"	"MaxEE_2-2"	"TruncLen_180-160"	27.8021463248446	27.5743122391619	27.5941856173523	1.76660136842404	1.76660136842404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track76"	"track76"	140892	100502	99471	99029	77305	63139	118	84	"Truncq_2"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_0-0"	71.3326519603668	70.6008857848565	70.2871703148511	54.868267893138	44.8137580558158	18254	11566	2598	7380	3581	3177	1432	1115	1001	3419	789	483	605	608	130	111	116	250	88	133	143	102	228	64	90	47	44	50	73	0	38	30	33	21	3	4	5	2	0	77	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track77"	"track77"	140892	100502	99471	99029	77305	63139	118	84	"Truncq_4"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_0-0"	71.3326519603668	70.6008857848565	70.2871703148511	54.868267893138	44.8137580558158	18254	11566	2598	7380	3581	3177	1432	1115	1001	3419	789	483	605	608	130	111	116	250	88	133	143	102	228	64	90	47	44	50	73	0	38	30	33	21	3	4	5	2	0	77	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track78"	"track78"	140892	100502	99471	99029	77305	63139	118	84	"Truncq_7"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_0-0"	71.3326519603668	70.6008857848565	70.2871703148511	54.868267893138	44.8137580558158	18254	11566	2598	7380	3581	3177	1432	1115	1001	3419	789	483	605	608	130	111	116	250	88	133	143	102	228	64	90	47	44	50	73	0	38	30	33	21	3	4	5	2	0	77	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track79"	"track79"	140892	100502	99471	99029	77305	63139	118	84	"Truncq_11"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_0-0"	71.3326519603668	70.6008857848565	70.2871703148511	54.868267893138	44.8137580558158	18254	11566	2598	7380	3581	3177	1432	1115	1001	3419	789	483	605	608	130	111	116	250	88	133	143	102	228	64	90	47	44	50	73	0	38	30	33	21	3	4	5	2	0	77	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track80"	"track80"	140892	129060	127879	128940	4324	4324	0	21	"Truncq_15"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_0-0"	91.6020781875479	90.7638474860177	91.516906566732	3.06901740340119	3.06901740340119	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track81"	"track81"	140892	43168	42489	42207	38836	31865	159	81	"Truncq_2"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_250-230"	30.6390710615223	30.1571416404054	29.9569883314879	27.5643755500667	22.6166141441672	744	453	94	7796	4518	3294	52	1153	1477	3738	852	506	222	653	149	0	126	247	90	0	181	113	314	68	90	53	44	64	0	32	50	0	15	21	5	4	5	0	27	105	122	52	17	0	8	6	7	4	5	3	2	4	4	6	3	2	0	0	0
"track82"	"track82"	140892	43168	42489	42207	38836	31865	159	81	"Truncq_4"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_250-230"	30.6390710615223	30.1571416404054	29.9569883314879	27.5643755500667	22.6166141441672	744	453	94	7796	4518	3294	52	1153	1477	3738	852	506	222	653	149	0	126	247	90	0	181	113	314	68	90	53	44	64	0	32	50	0	15	21	5	4	5	0	27	105	122	52	17	0	8	6	7	4	5	3	2	2	4	6	3	2	0	0	0
"track83"	"track83"	140892	43168	42489	42207	38836	31865	159	81	"Truncq_7"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_250-230"	30.6390710615223	30.1571416404054	29.9569883314879	27.5643755500667	22.6166141441672	744	453	94	7796	4518	3294	52	1153	1477	3738	852	506	222	653	149	0	126	247	90	0	181	113	314	68	90	53	44	64	0	32	50	0	15	21	5	4	5	0	27	105	122	52	17	0	8	6	7	4	5	3	2	0	0	6	3	2	0	0	0
"track84"	"track84"	140892	43168	42489	42207	38836	31865	158	82	"Truncq_11"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_250-230"	30.6390710615223	30.1571416404054	29.9569883314879	27.5643755500667	22.6166141441672	744	453	94	7796	4518	3294	52	1153	1477	3738	852	506	222	653	149	0	126	247	90	0	181	113	314	68	90	53	44	64	0	32	50	0	15	21	5	4	5	0	27	105	122	52	17	0	8	6	7	4	5	3	2	0	0	6	3	2	0	0	0
"track85"	"track85"	140892	2767	2679	2683	2447	2336	45	12	"Truncq_15"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_250-230"	1.96391562331431	1.90145643471595	1.90429548874315	1.73679130113846	1.65800755188371	0	0	0	625	288	251	0	193	98	193	51	84	9	86	12	0	4	0	13	0	0	6	0	6	8	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	9	0	0	0	0	0	0
"track86"	"track86"	140892	114947	114097	113826	5677	5614	10	88	"Truncq_2"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_230-210"	81.5851858160861	80.9818868353065	80.7895409249638	4.02932742810096	3.98461232717259	4	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track87"	"track87"	140892	114947	114097	113826	5677	5614	9	89	"Truncq_4"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_230-210"	81.5851858160861	80.9818868353065	80.7895409249638	4.02932742810096	3.98461232717259	4	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track88"	"track88"	140892	114947	114097	113826	5677	5614	9	89	"Truncq_7"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_230-210"	81.5851858160861	80.9818868353065	80.7895409249638	4.02932742810096	3.98461232717259	4	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track89"	"track89"	140892	114947	114097	113826	5677	5614	9	89	"Truncq_11"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_230-210"	81.5851858160861	80.9818868353065	80.7895409249638	4.02932742810096	3.98461232717259	4	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track90"	"track90"	140892	13656	13429	13523	832	832	0	27	"Truncq_15"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_230-210"	9.69253044885444	9.53141413281095	9.5981319024501	0.590523237657213	0.590523237657213	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track91"	"track91"	140892	120557	119729	119414	6080	6019	5	97	"Truncq_2"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_210-190"	85.5669590892315	84.9792749056015	84.7556994009596	4.31536212134117	4.2720665474264	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track92"	"track92"	140892	120557	119729	119414	6080	6019	5	97	"Truncq_4"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_210-190"	85.5669590892315	84.9792749056015	84.7556994009596	4.31536212134117	4.2720665474264	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track93"	"track93"	140892	120557	119729	119414	6080	6019	5	97	"Truncq_7"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_210-190"	85.5669590892315	84.9792749056015	84.7556994009596	4.31536212134117	4.2720665474264	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track94"	"track94"	140892	120557	119729	119414	6080	6019	5	97	"Truncq_11"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_210-190"	85.5669590892315	84.9792749056015	84.7556994009596	4.31536212134117	4.2720665474264	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track95"	"track95"	140892	24401	24112	24164	1803	1803	0	35	"Truncq_15"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_210-190"	17.3189393294154	17.1138176759504	17.1507253783039	1.27970360275956	1.27970360275956	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track96"	"track96"	140892	127640	126872	126155	5678	5606	3	81	"Truncq_2"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_180-160"	90.5942140078926	90.0491156346705	89.5402152002953	4.03003719160776	3.97893421911819	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track97"	"track97"	140892	127640	126872	126155	5678	5606	4	80	"Truncq_4"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_180-160"	90.5942140078926	90.0491156346705	89.5402152002953	4.03003719160776	3.97893421911819	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track98"	"track98"	140892	127640	126872	126155	5678	5606	3	81	"Truncq_7"	"rmphix_FALSE"	"MaxEE_2-2"	"TruncLen_180-160"	90.5942140078926	90.0491156346705	89.5402152002953	4.03003719160776	3.97893421911819	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
