"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","121617","121597","120031","117224","112828","104042","17","58","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","121617","121597","120031","117224","112828","104042","19","56","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","121617","121597","120031","117224","112828","104042","18","57","Truncq_6","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","121617","121597","120031","117224","112828","104042","17","58","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","121617","121597","120031","117224","112828","104042","18","57","Truncq_10","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","121617","121593","120876","119251","116606","108499","17","57","Truncq_12","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track7","121617","121465","121031","120908","3108","3068","8","47","Truncq_14","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track8","121617","69252","68968","68823","2316","2290","7","35","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track9","121617","70136","69971","69871","69471","63585","16","55","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","121617","70136","69971","69871","69471","63585","16","55","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","121617","70136","69971","69871","69471","63585","16","55","Truncq_6","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track12","121617","70136","69971","69871","69471","63585","17","54","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track13","121617","70136","69971","69871","69471","63585","16","55","Truncq_10","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track14","121617","100982","100718","100605","98828","91799","15","57","Truncq_12","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track15","121617","121391","120960","120859","3101","3062","9","46","Truncq_14","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track16","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track17","121617","93835","93565","93430","92767","85231","19","56","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track18","121617","93835","93565","93430","92767","85231","18","57","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track19","121617","93835","93565","93430","92767","85231","18","57","Truncq_6","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track20","121617","93835","93565","93430","92767","85231","18","57","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track21","121617","93835","93565","93430","92767","85231","19","56","Truncq_10","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track22","121617","116339","115864","115553","113024","105336","17","55","Truncq_12","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track23","121617","121464","121030","120908","3108","3068","8","47","Truncq_14","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track24","121617","69252","68968","68823","2316","2290","7","35","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track25","121617","104664","104282","104134","101857","93810","19","56","Truncq_2","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track26","121617","104664","104282","104134","101857","93810","18","57","Truncq_4","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track27","121617","104664","104282","104134","101857","93810","19","56","Truncq_6","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track28","121617","104664","104282","104134","101857","93810","19","56","Truncq_8","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track29","121617","104664","104282","104134","101857","93810","19","56","Truncq_10","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track30","121617","120481","119869","118792","116262","108149","17","57","Truncq_12","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track31","121617","121465","121031","120908","3108","3068","9","46","Truncq_14","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track32","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track33","121617","111417","110939","110738","107971","99487","19","56","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track34","121617","111417","110939","110738","107971","99487","20","55","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track35","121617","111417","110939","110738","107971","99487","18","57","Truncq_6","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track36","121617","111417","110939","110738","107971","99487","19","56","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track37","121617","111417","110939","110738","107971","99487","19","56","Truncq_10","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track38","121617","121452","120758","119217","116594","108487","17","57","Truncq_12","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track39","121617","121465","121031","120908","3108","3068","9","46","Truncq_14","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track40","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track41","121617","116190","115376","115050","111514","102773","18","56","Truncq_2","rmphix_TRUE","MaxEE_5-5","TruncLen_0-0"
"track42","121617","116190","115376","115050","111514","102773","17","57","Truncq_4","rmphix_TRUE","MaxEE_5-5","TruncLen_0-0"
"track43","121617","116190","115376","115050","111514","102773","18","56","Truncq_6","rmphix_TRUE","MaxEE_5-5","TruncLen_0-0"
"track44","121617","116190","115376","115050","111514","102773","18","56","Truncq_8","rmphix_TRUE","MaxEE_5-5","TruncLen_0-0"
"track45","121617","116190","115376","115050","111514","102773","18","56","Truncq_10","rmphix_TRUE","MaxEE_5-5","TruncLen_0-0"
"track46","121617","121584","120867","119248","116605","108498","16","58","Truncq_12","rmphix_TRUE","MaxEE_5-5","TruncLen_0-0"
"track47","121617","121465","121031","120908","3108","3068","8","47","Truncq_14","rmphix_TRUE","MaxEE_5-5","TruncLen_0-0"
"track48","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_5-5","TruncLen_0-0"
"track49","121617","119281","117985","116910","112700","103928","18","57","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track50","121617","119281","117985","116910","112700","103928","18","57","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track51","121617","119281","117985","116910","112700","103928","19","56","Truncq_6","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track52","121617","119281","117985","116910","112700","103928","19","56","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track53","121617","119281","117985","116910","112700","103928","18","57","Truncq_10","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track54","121617","121592","120875","119251","116606","108499","17","57","Truncq_12","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track55","121617","121465","121031","120908","3108","3068","8","47","Truncq_14","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track56","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
