"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",44925,45031,44026,43273,41583,41648,44184,28037,44981,45177,28689,40022,45075,45022,40915,31211,45074,41720,41031,43198,41759,44596,41020,43196,45045,44873,40969,43184,45065,45065,44283,43238,45060,45134,41087,43163,45198,45123,44310,39937,32120,44925,41124,43160,45041,45010,41052,43182
"asv2",645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654,645,654,654,654
"asv3",116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116,116,116,115,116
"asv4",186,75,75,80,75,3326,78,3287,80,75,3326,3287,75,75,72,77,75,3430,3326,78,80,72,3436,80,75,75,75,95,78,190,103,80,78,78,3328,97,72,98,80,3284,78,78,103,74,75,80,3320,97
"asv5",190,177,468,99,121,374,217,138,222,99,145,94,151,230,322,208,194,140,113,126,116,475,66,121,208,377,178,82,180,79,120,144,156,122,104,147,107,82,86,236,516,304,59,79,172,191,127,158
"asv6",103,93,10,90,159,139,183,41,166,136,86,82,158,153,79,94,114,184,74,147,159,103,106,98,81,147,98,81,136,83,85,23,118,70,158,101,101,156,157,99,155,161,129,105,139,136,147,93
"asv7",64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
"asv8",196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207,196,203,207,207
"asv9",61,154,68,66,46,54,52,65,48,45,103,59,32,30,46,36,41,46,81,63,127,24,83,52,95,34,141,37,37,98,55,42,79,37,0,67,32,59,68,26,49,71,48,82,66,70,62,31
"asv10",55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44,55,55,55,44
"asv11",55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56,55,53,53,56
"asv12",53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
"asv13",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"asv14",31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30,31,31,31,30
"asv15",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"asv16",28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32,28,28,32,32
"asv17",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
"asv18",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"asv19",38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
"asv20",23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"asv21",29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28,29,29,29,28
"asv22",20,0,0,0,3273,0,0,0,0,0,0,0,3,0,3248,20,0,0,5,0,0,0,0,0,0,0,3248,0,0,5,0,0,0,0,20,0,3,0,0,0,0,0,3248,127,0,0,0,0
"asv23",16,0,65,25,3,3,2,60,7,2,3,86,21,22,20,7,17,3,82,23,21,7,3,88,11,17,3,96,17,17,68,77,6,81,24,20,0,19,8,28,0,3,3,3,11,25,4,78
"asv24",15,15,18,12,0,15,18,19,15,15,18,19,15,15,18,19,0,15,18,19,15,15,18,19,15,15,18,19,15,15,18,19,15,15,18,19,15,15,18,19,15,15,3,19,15,15,18,19
"asv25",14,21,0,21,14,0,14,14,21,14,0,14,14,14,14,14,14,14,14,14,14,14,0,0,14,0,14,14,14,14,14,0,0,14,14,14,14,14,14,21,14,14,14,0,14,0,0,0
"asv26",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"asv27",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"asv28",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"asv29",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"asv30",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"asv31",10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13,10,10,13,13
"asv32",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"asv33",16,0,23,0,7,14,0,9,9,7,14,12,7,7,7,16,7,16,9,7,7,7,21,14,5,30,9,7,7,7,7,19,14,0,0,7,7,7,5,0,7,0,7,21,16,21,21,14
"asv34",9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12,9,9,9,12
"asv35",8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7
"asv36",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv37",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv38",6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9,6,9,9,9
"asv39",11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16,11,11,11,16
"asv40",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"asv41",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv42",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv43",3,7,0,2,255,0,5,12005,0,3,12367,0,0,0,10,11973,0,5,0,0,0,260,0,7,0,5,0,35,0,0,0,35,25,20,0,35,0,0,5,27,12592,0,0,5,2,23,0,5
"asv44",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0
"asv45",2,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
"asv46",0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11,0,6,6,11
"asv47",0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6
"asv48",0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4
"asv49",0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4
"asv50",0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4
"asv51",0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4
"asv52",0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
"asv53",0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8
"asv54",0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2
"asv55",0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9
"asv56",0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"asv57",0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6
"asv58",0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0
"asv59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"asv60",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"asv61",0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0
"asv62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
